"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 04 19:42:01 GMT 2022","Mon Apr 04 19:42:01 GMT 2022","10","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertEquals_true_expectedToPass","Assert that assertEquals works as expected when the two values are equal.",""
"passed","Mon Apr 04 20:45:33 GMT 2022","Mon Apr 04 20:45:33 GMT 2022","37","Suite","Test","testPackage01.Test_checkJDKShellFilesGenerated","testPackage01.Test_checkJDKShellFilesGenerated","testJDKGeneratedSuccessfully","testJDKGeneratedSuccessfully",""
"skipped","Mon Apr 04 20:39:09 GMT 2022","Mon Apr 04 20:39:09 GMT 2022","10","Suite","Test","testPackage01.TestJSPromptBox","testPackage01.TestJSPromptBox","acceptPromptAlertWithTextMessage","acceptPromptAlertWithTextMessage",""
"skipped","Mon Apr 04 19:51:03 GMT 2022","Mon Apr 04 19:51:03 GMT 2022","17","Suite","Test","testPackage01.Test_dragAndDrop","testPackage01.Test_dragAndDrop","dragAndDropJquery","dragAndDropJquery",""
"passed","Mon Apr 04 20:33:07 GMT 2022","Mon Apr 04 20:33:08 GMT 2022","446","Suite","Test","testPackage01.Test_AssertApiResponseEquals","testPackage01.Test_AssertApiResponseEquals","assertApiResponseEquals_expectedToPass","assertApiResponseEquals_expectedToPass",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","7","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f6_2","f6_2",""
"skipped","Mon Apr 04 20:33:07 GMT 2022","Mon Apr 04 20:33:07 GMT 2022","23","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","matchesReferenceImage","matchesReferenceImage",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","13","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f30","f30",""
"failed","Mon Apr 04 19:45:02 GMT 2022","Mon Apr 04 19:45:02 GMT 2022","0","Suite","Test","unitTests.tests_element_elementActions","unitTests.tests_element_elementActions","beforeMethod","beforeMethod",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","7","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f7","f7",""
"passed","Mon Apr 04 20:06:05 GMT 2022","Mon Apr 04 20:06:05 GMT 2022","220","Suite","Test","testPackage01.Test_sendGraphqlRequest","testPackage01.Test_sendGraphqlRequest","sendGraphqlRequestUsingQuery","sendGraphqlRequestUsingQuery",""
"skipped","Mon Apr 04 19:48:02 GMT 2022","Mon Apr 04 19:48:02 GMT 2022","9","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","getWindowHandle","getWindowHandle",""
"passed","Mon Apr 04 19:39:00 GMT 2022","Mon Apr 04 19:39:00 GMT 2022","20","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertComparativeRelation_greaterThanOrEquals_true_greaterThan_expectedToPass","assertComparativeRelation_greaterThanOrEquals_true_greaterThan_expectedToPass",""
"skipped","Mon Apr 04 20:03:04 GMT 2022","Mon Apr 04 20:03:04 GMT 2022","17","Suite","Test","testPackage01.TestJSConfirmBox","testPackage01.TestJSConfirmBox","dismissAlert","dismissAlert",""
"failed","Mon Apr 04 20:33:07 GMT 2022","Mon Apr 04 20:33:07 GMT 2022","0","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","beforeClass","beforeClass",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","8","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f32","f32",""
"failed","Mon Apr 04 19:42:00 GMT 2022","Mon Apr 04 19:42:00 GMT 2022","1","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","beforeMethod","beforeMethod",""
"failed","Mon Apr 04 20:24:06 GMT 2022","Mon Apr 04 20:24:06 GMT 2022","1","Suite","Test","testPackage01.Test_ShadowDOM","testPackage01.Test_ShadowDOM","beforeMethod","beforeMethod",""
"skipped","Mon Apr 04 20:36:08 GMT 2022","Mon Apr 04 20:36:08 GMT 2022","32","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f13","f13",""
"passed","Mon Apr 04 20:27:07 GMT 2022","Mon Apr 04 20:27:07 GMT 2022","95","Suite","Test","testPackage01.Test_JsonCompareWithSpecialCharacters","testPackage01.Test_JsonCompareWithSpecialCharacters","specialCharacters_assertion","specialCharacters_assertion",""
"skipped","Mon Apr 04 20:09:05 GMT 2022","Mon Apr 04 20:09:05 GMT 2022","12","Suite","Test","testPackage01.Test_dynamicLoading","testPackage01.Test_dynamicLoading","dynamicLoading_elementIsHidden","dynamicLoading_elementIsHidden",""
"skipped","Mon Apr 04 19:42:01 GMT 2022","Mon Apr 04 19:42:02 GMT 2022","25","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertFileExists_false_expectedToFail","assertFileExists_false_expectedToFail",""
"failed","Mon Apr 04 20:45:33 GMT 2022","Mon Apr 04 20:45:33 GMT 2022","0","Suite","Test","testPackage01.Test_assertEquals","testPackage01.Test_assertEquals","beforeClass","beforeClass",""
"skipped","Mon Apr 04 19:42:01 GMT 2022","Mon Apr 04 19:42:01 GMT 2022","17","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertEquals_longCharacters","assertEquals_longCharacters",""
"failed","Mon Apr 04 19:54:03 GMT 2022","Mon Apr 04 19:54:03 GMT 2022","0","Suite","Test","testPackage01.Test_IsElementClickable","testPackage01.Test_IsElementClickable","beforeMethod","beforeMethod",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","16","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f28","f28",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","17","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f4","f4",""
"passed","Mon Apr 04 20:39:09 GMT 2022","Mon Apr 04 20:39:09 GMT 2022","29","Suite","Test","testPackage01.Test_PDF","testPackage01.Test_PDF","testPDF1","testPDF1",""
"skipped","Mon Apr 04 19:42:00 GMT 2022","Mon Apr 04 19:42:01 GMT 2022","25","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_true_caseInsensitiveComparison_expectedToPass","assertElementAttribute_true_caseInsensitiveComparison_expectedToPass",""
