"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 19:44:54 UTC 2022","Mon Apr 04 19:44:54 UTC 2022","309","Suite","Test","testPackage01.Test_JsonCompareWithSpecialCharacters","testPackage01.Test_JsonCompareWithSpecialCharacters","specialCharacters_assertion","specialCharacters_assertion",""
"passed","Mon Apr 04 19:44:15 UTC 2022","Mon Apr 04 19:44:16 UTC 2022","785","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","text","text",""
"passed","Mon Apr 04 19:39:32 UTC 2022","Mon Apr 04 19:39:33 UTC 2022","521","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","navigateToURL","navigateToURL",""
"passed","Mon Apr 04 19:41:49 UTC 2022","Mon Apr 04 19:41:49 UTC 2022","2","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertNull_true_expectedToFail","assertNull_true_expectedToFail",""
"failed","Mon Apr 04 19:44:06 UTC 2022","Mon Apr 04 19:44:06 UTC 2022","0","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","openBrowser","openBrowser",""
"passed","Mon Apr 04 19:42:10 UTC 2022","Mon Apr 04 19:42:11 UTC 2022","365","Suite","Test","testPackage01.TestJSPromptBox","testPackage01.TestJSPromptBox","getAlertText","getAlertText",""
"skipped","Mon Apr 04 19:44:08 UTC 2022","Mon Apr 04 19:44:08 UTC 2022","42","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f36","f36",""
"passed","Mon Apr 04 19:39:19 UTC 2022","Mon Apr 04 19:39:19 UTC 2022","52","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","getWindowSize","getWindowSize",""
"passed","Mon Apr 04 19:44:17 UTC 2022","Mon Apr 04 19:44:19 UTC 2022","1972","Suite","Test","testPackage01.Test_sendGraphqlRequest","testPackage01.Test_sendGraphqlRequest","sendGraphqlRequestUsingMutationAndVariables","sendGraphqlRequestUsingMutationAndVariables",""
"passed","Mon Apr 04 19:43:31 UTC 2022","Mon Apr 04 19:43:31 UTC 2022","286","Suite","Test","testPackage01.TestJSConfirmBox","testPackage01.TestJSConfirmBox","getAlertText","getAlertText",""
"skipped","Mon Apr 04 19:44:06 UTC 2022","Mon Apr 04 19:44:06 UTC 2022","3","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f18","f18",""
